NPC-Anzahl,FSM FPS,BT FPS,GOAP FPS
0,223,223,223
1,210,209,209
2,204,203,203
3,202,200,197
4,199,197,193
5,196,193,189
6,194,190,185
7,192,186,180
8,187,183,172
9,184,177,170
10,181,172,162
11,175,170,156
12,163,157,148
13,161,152,144
14,155,150,138
15,154,143,137
16,148,136,128
17,138,132,123
18,145,131,128
19,134,118,105
20,131,117,110
21,120,114,99
22,116,112,102
23,120,105,91
24,116,101,92
25,101,94,91
26,94,93,85
27,113,90,77
28,91,80,73
29,86,80,78
30,75,74,84
31,96,64,63
32,80,67,62
33,82,63,62
34,63,68,65
35,81,59,55
36,75,59,60
37,67,53,53
38,68,50,60
39,60,59,50
40,53,57,47
41,54,47,50
42,53,46,48
43,52,52,45
44,60,45,42
45,64,46,45
46,60,47,41
47,46,42,37
48,54,48,45
49,43,40,35
50,51,42,38
51,41,41,37
52,40,38,38
53,48,39,38
54,48,37,38
55,44,40,36
56,39,39,35
57,37,37,35
58,37,35,30
59,35,34,31
60,33,34,32
61,39,37,36
62,42,35,33
63,38,37,35
64,36,30,29
65,41,30,31
66,33,35,28
67,32,29,30
68,29,33,28
69,29,33,30
70,29,30,27
71,33,26,25
72,30,32,30
73,34,29,26
74,27,27,25
75,30,25,27
76,40,26,26
77,26,29,25
78,30,27,24
79,28,25,22
80,26,26,23
81,26,27,22
82,29,24,25
83,32,25,21
84,23,24,21
85,24,24,19
86,23,24,21
87,25,20,19
88,24,24,21
89,22,22,20
90,26,22,18
91,21,21,23
92,19,24,20
93,23,21,18
94,20,21,17
95,20,22,19
96,24,20,20
97,22,20,18
98,22,21,19
99,20,20,21
100,23,19,18
101,21,19,17
